word,frequency,pos,example_sentence
तिरंगा,4.0,NOUN,तिरंगा हमारे देश की शान है।
अंग्रेज,4.0,NOUN,वह एक अंग्रेज पर्यटक है।
मुस्क,4.0,NOUN,उसने अपनी मुस्क से वातावरण को महकाया।
कौए,4.0,NOUN,कौए सुबह से कांव कांव कर रहे हैं।
मोटर,4.0,NOUN,उसने नई मोटर साइकिल खरीदी।
मोक्ष,4.0,NOUN,साधु मोक्ष की प्राप्ति के लिए तपस्या करते हैं।
बेचा,4.0,VERB,उसने अपनी पुरानी कार बेच दी।
काश,4.0,INTERJECTION,काश! मेरे पास भी ऐसा घर होता।
प्रचारण,4.0,NOUN,वह पार्टी का प्रचारण करने में जुटा है।
गुब्बारे,4.0,NOUN,बच्चे गुब्बारे फोड़ने में मस्त थे।
गुब्बारा,4.0,NOUN,गुब्बारा आसमान में उड़ने लगा।
भवानी,4.0,NOUN,भवानी मंदिर में श्रद्धालुओं का तांता लगा रहता है।
मुरली,4.0,NOUN,कृष्ण की मुरली की धुन मनमोहक है।
मुरमुरे,4.0,NOUN,चाय के साथ मुरमुरे खाने का मज़ा अलग है।
मुन्नू,4.0,PRON,मुन्नू की शरारतें सबको भाती हैं।
तैरना,4.0,VERB,वह नदी में तैरना सीख रही है।
खूबसूरती,4.0,NOUN,इस फूल की खूबसूरती देखते ही बनती है।
खेलो,4.0,VERB,"बच्चों, बाहर जाकर खेलो।"
मही,4.0,NOUN,मही नदी के किनारे बहुत सुंदर दृश्य है।
करवाल,4.0,NOUN,युद्ध में उसने करवाल का इस्तेमाल किया।
करवाया,4.0,VERB,उसने अपने भाई से काम करवाया।
लै,4.0,POSTPOSITION,सरकारी सहायता के लै आवेदन किया गया।
लेनी,4.0,VERB,मुझे यह किताब अपने दोस्त से लेनी है।
शेषताएँ,4.0,NOUN,उसकी सभी शेषताएँ पूरी की गईं।
उत्साहित,4.0,ADJ,वह नई नौकरी के लिए बहुत उत्साहित था।
ज्वाला,4.0,NOUN,अग्नि की ज्वाला तेज हो गई।
झड़ी,4.0,NOUN,बारिश की झड़ी लग गई है।
स्तव,4.0,NOUN,वह भगवान की स्तव करती है।
अनुवादक,4.0,NOUN,अनुवादक ने पुस्तक का अच्छा अनुवाद किया।
पड़ेगी,4.0,VERB,"बारिश हुई तो छतरी काम आएगी, वरना भीगना पड़ेगी।"
पड़ेंगे,4.0,VERB,अगर सभी सहमत हैं तो निर्णय लेने में समय नहीं लगेगा और पड़ेंगे।
लेगी,4.0,VERB,वह परीक्षा में अच्छे अंक लेगी।
पढ़ाते,4.0,VERB,वे स्कूल में विज्ञान पढ़ाते हैं।
पते,4.0,NOUN,हमारे पास सभी निमंत्रण पत्रों के पते हैं।
मित्रलाभ,4.0,NOUN,मित्रलाभ समाज में सहयोग और खुशी बढ़ाता है।
बगल,4.0,NOUN,मेरी बगल में बैठने वाला बच्चा बहुत होशियार है।
बख्शीश,4.0,NOUN,उसने वेटर को बख्शीश दी।
बचती,4.0,VERB,वह पैसे बचती है ताकि भविष्य में उपयोग कर सके।
उदयशंकर,4.0,NOUN,उदयशंकर प्रसिद्ध नृत्यांगना थे।
श्य,4.0,ADJ,उनकी श्य आंखें बहुत खूबसूरत हैं।
लीन,4.0,ADJ,उसे काम में लीन रहना पसंद है।
कराया,4.0,VERB,उसने घर की मरम्मत कराई।
कराते,4.0,VERB,वह अपने बच्चों को तैराकी सीखाते हैं।
कराती,4.0,VERB,वह बच्चों से सफाई करवाती हैं।
करोड़,4.0,NOUN,उसने इस परियोजना में दस करोड़ का निवेश किया।
स्टूल,4.0,NOUN,बैठने के लिए एक स्टूल ले आओ।
स्टडीज,4.0,NOUN,उसकी स्टडीज बहुत अच्छी चल रही हैं।
स्कूलों,4.0,NOUN,सरकारी स्कूलों में शिक्षा का स्तर सुधारने की जरूरत है।
बचाव,4.0,NOUN,आग से बचाव के लिए उपाय किए गए।
सावधान,4.0,ADJ,सड़क पार करते समय सावधान रहो।
सालों,4.0,NOUN,हमने उसे कई सालों बाद देखा।
पदार्थों,4.0,NOUN,विज्ञान में विभिन्न पदार्थों का अध्ययन होता है।
जोड़ती,4.0,VERB,वह हर व्यक्ति की राय जोड़ती है।
ज्ञात,4.0,ADJ,यह बात सभी को ज्ञात है।
जौहरी,4.0,NOUN,उसने अपने सोने के गहने जौहरी के पास दिए।
पदतल,4.0,NOUN,वह पदतल पर चप्पल पहनता है।
पदक,4.0,NOUN,उसने खेल में स्वर्ण पदक जीता।
पन्ना,4.0,NOUN,यह किताब के हर पन्ना को ध्यान से पढ़ा।
लिंग,4.0,NOUN,लिंग के आधार पर भेदभाव गलत है।
लिखाई,4.0,NOUN,उसकी लिखाई बहुत सुंदर है।
पड़ाव,4.0,NOUN,रात्रि का पड़ाव एक शांत स्थान पर हुआ।
बँट,4.0,VERB,जोर की आवाज से इसका ध्यान बँट गया।
बकरियाँ,4.0,NOUN,गांव के लोग बकरियाँ पालते हैं।
बकरा,4.0,NOUN,उसने एक बकरा खरीदा।
चित,4.0,NOUN,उसका चित शांत नहीं है।
चिपका,4.0,VERB,दीवार पर पोस्टर चिपका दें।
बगीचा,4.0,NOUN,हमारे घर के पास सुंदर बगीचा है।
झांकी,4.0,NOUN,मेला में विभिन्न झांकियां दिखाई जा रही हैं।
खाद,4.0,NOUN,किसान खेतों में खाद डालते हैं।
खातिर,4.0,NOUN,मेहमानों की खातिरदारी में कोई कमी नहीं रही।
माहेश,4.0,NOUN,माहेश की क्रिकेट में बहुत रुचि है।
समूची,4.0,ADJ,समूची किताब मैंने पढ़ ली है।
पकड़ना,4.0,VERB,बच्चा गेंद पकड़ना चाहता है।
पकाए,4.0,VERB,माँ ने स्वादिष्ट खाना पकाए।
श्रमिक,4.0,NOUN,श्रमिक फैक्टरी में काम करते हैं।
श्रद्धा,4.0,NOUN,उसे भगवान में गहरी श्रद्धा है।
उत्पाद,4.0,NOUN,यह कंपनी दोषरहित उत्पाद बनाती है।
स्थिर,4.0,ADJ,उसकी मानसिक स्थिति स्थिर है।
पक्षों,4.0,NOUN,दोनों पक्षों के बीच समझौता हुआ।
झलमल,4.0,ADJ,आसमान की झलमल रौशनी सुंदर लग रही थी।
झारखंड,4.0,NOUN,मेरे दोस्त का गाँव झारखंड में है।
पक्के,4.0,ADJ,यह सड़क पक्के ईंटों से बनी है।
पत्थरों,4.0,NOUN,यहाँ पर पत्थरों का ढेर लगा है।
झुक,4.0,VERB,वह सम्मान में झुक गए।
पंचमी,4.0,NOUN,पंचमी के दिन छुट्टी होती है।
पंचकोश,4.0,NOUN,पंचकोश की कहानी सभी को प्रेरित करती है।
झुरमुट,4.0,NOUN,जंगल में झुरमुट के पीछे शेर छिपा था।
झुकी,4.0,VERB,वह थकान से झुकी जा रही थी।
लिखो,4.0,VERB,कृपया बोर्ड पर लिखो।
उत्पत्ति,4.0,NOUN,मानव सभ्यता की उत्पत्ति का रहस्य है।
अनुष्ठान,4.0,NOUN,कल मंदिर में अनुष्ठान होगा।
सोनम,4.0,NOUN,सोनम मेरी दोस्त है।
संप्रेषित,4.0,VERB,सूचना को साफ़ संप्रेषित करो।
संभावनाएँ,4.0,NOUN,इस परियोजना की संभावनाएँ प्रबल हैं।
संभाला,4.0,VERB,उसने समय रहते स्थिति संभाली।
फेरते,4.0,VERB,वह प्रार्थना में माला फेरते थे।
फैशन,4.0,NOUN,आजकल का फैशन बहुत बदल गया है।
बंडी,4.0,NOUN,उसने सफेद बंडी पहनी थी।
झाड़,4.0,NOUN,आंगन में बड़ा झाड़ खड़ा है।
अनुचित,4.0,ADJ,उसका व्यवहार अनुचित था।
नैना,4.0,NOUN,नैना की नज़रें बहुत प्यारी हैं।
झूली,4.0,VERB,वह खुशी में झूली।
नेपथ्य,4.0,NOUN,नाटक के नेपथ्य में बहुत काम हुआ।
नोट,4.0,NOUN,वह नोट अपनी कॉपी में पढ़ रहा था।
रहकर,4.0,ADV,शहर में रहकर उसे बहुत मज़ा आया।
रस्सियाँ,4.0,NOUN,जिम में रस्सियाँ लगी थीं।
ईश्वर,4.0,NOUN,ईश्वर की कृपा से सब ठीक है।
इलाके,4.0,NOUN,यह इलाका बहुत शांत है।
इसी में,4.0,ADV,इसी में सबका भला है।
साहसी,4.0,ADJ,वह एक साहसी योद्धा है।
बचाते,4.0,VERB,वे हर महीने पैसे बचाते हैं।
बचाकर,4.0,VERB,उसने मुश्किल से खुद को बचाकर घर पहुँचाया।
झुका,4.0,VERB,वह आखिरी वक्त पर झुका।
शोक,4.0,NOUN,परिवार शोक में डूब गया।
कबूतरों,4.0,NOUN,बगीचे में कबूतरों का झुंड था।
चाहो,4.0,VERB,तुम जब चाहो आ सकते हो।
बजाती,4.0,VERB,वह अपनी गिटार बजाती है।
रथ,4.0,NOUN,रथ उत्सव में सजे-धजे थे।
गरिमा,4.0,NOUN,उसने गरिमा के साथ पुरस्कार स्वीकार किया।
गरमागरम,4.0,ADJ,गरमागरम समोसे बहुत स्वादिष्ट थे।
सोहर,4.0,NOUN,सोहर गाने की परंपरा है।
पन,4.0,NOUN,उसने अपने घर के बगीचे में कई प्रकार के पन लगाए।
पद्य,4.0,NOUN,हिन्दी साहित्य में पद्य का महत्वपूर्ण स्थान है।
जोतते,4.0,VERB,किसान सुबह से खेत जोतते हैं।
जोएल,4.0,NOUN,जोएल मेरी नई कहानी का किरदार है।
लाली,4.0,NOUN,सुबह के सूरज की लाली बहुत सुंदर लग रही थी।
चुं,4.0,INTERJECTION,"अचानक हवा अत्यधिक ठंडी चलने लगी, चुं।"
फूँक,4.0,NOUN,उसने मोमबत्ती को एक फूँक में बुझा दिया।
अश,4.0,NOUN,अश को धार्मिक अनुष्ठानों में महत्वपूर्ण माना जाता है।
लौटा,4.0,VERB,वह लंबी यात्रा के बाद घर लौटा।
स्मारक,4.0,NOUN,मैंने भारत के कई ऐतिहासिक स्मारक देखे हैं।
झोंपड़ी,4.0,NOUN,गाँव के छोर पर उसकी छोटी झोंपड़ी है।
झोंके,4.0,NOUN,ठंडी हवा के झोंके ने मुझे सिहरन कर दिया।
नुकसान,4.0,NOUN,बाढ़ से खेती को बहुत नुकसान पहुँचा।
नीली,4.0,ADJ,उसने नीली साड़ी पहनी थी।
नृपति,4.0,NOUN,प्राचीन काल में नृपति का शासन था।
झोला,4.0,NOUN,उसके पास सामान से भरा झोला था।
नोंक,4.0,NOUN,उसने पेन्सिल की नोंक तोड़ दी।
शुचि,4.0,NOUN,शुचि का ध्यान हमेशा पढ़ाई में रहता है।
समुद्री,4.0,ADJ,समुद्री जीवन काफी रहस्यमय होता है।
मंडली,4.0,NOUN,कलाकारों की मंडली ने अद्भुत प्रदर्शन किया।
मक्खियाँ,4.0,NOUN,खाने के पास मक्खियाँ भिनभिना रही थीं।
मकड़ियाँ,4.0,NOUN,पुराना कमरा मकड़ियों से भरा हुआ था।
मचलना,4.0,VERB,बच्चे को खिलौना देखकर मचलना आया।
गर्जितोर्मी,4.0,NOUN,गर्जितोर्मी जंगल में घने वृक्ष थे।
मजबूत,4.0,ADJ,उसका शरीर बहुत मजबूत है।
बजने,4.0,VERB,घड़ी में छह बजने वाले हैं।
ब्रजभाषा,4.0,NOUN,ब्रजभाषा हिंदी की एक प्राचीन बोली है।
ब्रज,4.0,NOUN,ब्रज की होली देखने लोग दूर-दूर से आते हैं।
गोंड,4.0,NOUN,गोंड भारत की एक जनजाति है।
सिलवा,4.0,VERB,उसने अपनी सभी ड्रेस नई फैशन में सिलवा लीं।
सिर्फ़,4.0,ADV,यह काम सिर्फ़ तुम्हारे बस का है।
फूला,4.0,NOUN,उसने अपने खाने में फूला रोटी बनाई।
ईमानदार,4.0,ADJ,वह हमेशा ईमानदार और सीधे रास्ते पर चलता है।
लालन,4.0,NOUN,संगीत में लालन का महत्व बहुत होता है।
लिखत,4.0,NOUN,वह लिखत में हमेशा ध्यान देता है।
मिश्रण,4.0,NOUN,इस पकवान में कई मसालों का मिश्रण है।
भूषा,4.0,NOUN,प्राचीन युग में लोगों की भूषा अलग थी।
भेजें,4.0,VERB,कृपया इस पत्र को जल्द से जल्द भेजें।
गवर्नमेंट,4.0,NOUN,गवर्नमेंट की नई नीतियाँ लोगों के हित में हैं।
गाई,4.0,NOUN,उसने अपनी फेवरेट गाई को चुना।
गैसों,4.0,NOUN,विज्ञान की कक्षा में हमने विभिन्न गैसों के बारे में सीखा।
निहार,4.0,VERB,सुबह-सुबह सूरज को निहारना मुझे पसंद है।
परिदृश्य,4.0,NOUN,पहाड़ी परिदृश्य बहुत लुभावना था।
स्व,4.0,PRON,व्यक्ति का स्व उसकी पहचान होती है।
अनजान,4.0,ADJ,वह अनजान शहर में अकेला महसूस कर रहा था।
अनगिन,4.0,ADJ,मुझे अनगिन समस्याओं का सामना करना पड़ा।
स्वरों,4.0,NOUN,उसकी आवाज में स्वरों का जादू है।
रसाल,4.0,ADJ,रसाल आम बहुत मीठे होते हैं।
सामयिक,4.0,ADJ,यह सामयिक प्रश्न आज की परीक्षा में पूछा गया था।
सामग्रियाँ,4.0,NOUN,इस व्यंजन के लिए सभी सामग्रियाँ तैयार हैं।
बढ़िया,4.0,ADJ,यह चाय वाकई में बढ़िया है।
चातक,4.0,NOUN,चातक पक्षी बारिश का इंतजार कर रहा है।
निष्क,4.0,NOUN,उसने अपने गले में सोने का निष्क पहन रखा था।
टकर,4.0,NOUN,टकर की आवाज सुनकर सब चौंक गए।
लौटना,4.0,VERB,काम खत्म करके वह घर लौटना चाहता है।
कबड्डी,4.0,NOUN,कबड्डी खेलना मेरी पसंदीदा गतिविधि है।
नींव,4.0,NOUN,इस इमारत की नींव बहुत मजबूत है।
रमणीय,4.0,ADJ,यहाँ की रमणीय वादियों में घूमने का मन करता है।
निरापद,4.0,ADJ,यह स्थान यात्रा के लिए निरापद है।
नियुक्त,4.0,VERB,उसको नई परियोजना का प्रमुख नियुक्त किया गया।
नियमों,4.0,NOUN,हमें सभी नियमों का पालन करना चाहिए।
निराली,4.0,ADJ,उसकी पेंटिंग की निराली शैली है।
निर्दोष,4.0,ADJ,बच्चे बहुत निर्दोष होते हैं।
भैंसें,4.0,NOUN,गाँव में भैंसें बहुत सी हैं।
कलंकित,4.0,ADJ,उसकी सच्चाई सामने आकर कलंकित हुई।
सुधरें,,VERB,हमारी गलतियाँ न दोहराकर हम पर सुधरें।
पराग,4.0,NOUN,फूलों का पराग मधुमक्खियों को आकर्षित करता है।
जुलूस,4.0,NOUN,स्वतंत्रता दिवस पर जुलूस निकाला गया।
परवाह,4.0,NOUN,उसे किसी बात की परवाह नहीं है।
अपनापन,4.0,NOUN,उसके व्यवहार में अपनापन झलकता है।
अपनाना,4.0,VERB,हमेशा नई चीज़ों को अपनाना चाहिए।
सोभित,4.0,ADJ,उसके कपड़े पार्टी में सोभित दिखाई दिए।
परिधि,4.0,NOUN,उसने खेत की परिधि नाप ली।
परिधान,4.0,NOUN,उसका परिधान बहुत सुंदर था।
रचनात्मकता,4.0,NOUN,उसमें रचनात्मकता की कोई कमी नहीं है।
बढ़ना,4.0,VERB,पौधे का बढ़ना बहुत अच्छा लग रहा है।
चारपाई,4.0,NOUN,दादी चारपाई पर बैठी हैं।
परिषद,4.0,NOUN,शिक्षा परिषद की बैठक कल होगी।
लाता,4.0,VERB,वह हर बार मेरे लिए फूल लाता है।
परिशिष्ट,4.0,NOUN,पुस्तक के अंत में एक परिशिष्ट जोड़ा गया।
गूँ,4.0,NOUN,गाँव में गूँ बनाने की परंपरा है।
भट्टी,4.0,NOUN,भट्टी में आग तेज जल रही है।
सज,4.0,VERB,उसने कमरे को फूलों से सज किया।
सच्चे,4.0,ADJ,सच्चे दोस्त जीवन में बहुत महत्व रखते हैं।
शीर्षकों,4.0,NOUN,समाचार पत्र के शीर्षकों पर ध्यान दें।
वगैरह,4.0,CONJUNCTION,"मेरे पास कलम, कागज़ वगैरह सब कुछ है।"
निडर,4.0,ADJ,वह निडर होकर अपनी बात कहता है।
नियंत्रण,4.0,NOUN,ट्रैफिक का नियंत्रण पुलिस के हाथ में है।
निमेष,4.0,NOUN,उसने एक ही निमेष में निर्णय लिया।
टहल,4.0,VERB,शाम को बगीचे में टहल लेना चाहिए।
आवास,4.0,NOUN,यह भवन आवास के लिए उपयुक्त है।
जूते,4.0,NOUN,उसके जूते बहुत आकर्षक हैं।
परिवर्तनों,4.0,NOUN,विकास के लिए परिवर्तनों की जरूरत है।
परिवर्तनकारी,4.0,ADJ,यह तकनीक परिवर्तनकारी सिद्ध हो सकती है।
परिष्कृत,4.0,ADJ,उसका भाषण परिष्कृत तरीके से प्रस्तुत था।
जीवनी,4.0,NOUN,महात्मा गांधी की जीवनी प्रेरक है।
परोपकार,4.0,NOUN,परोपकार करना एक महान कार्य है।
लहराता,4.0,VERB,ध्वज हवा में लहराता दिख रहा है।
लहरा,4.0,VERB,तालाब के किनारे बांस का पेड़ लहरा रहा था।
लाते,4.0,VERB,बच्चे पार्क से गेंद लाते हैं।
आषाढ़,4.0,NOUN,आषाढ़ के महीने में बारिश बहुत होती है।
आलोचकों,4.0,NOUN,फिल्म के आलोचकों ने इसकी कड़ी समीक्षा की।
रट,4.0,VERB,वह परीक्षा के लिए किताब को रट रहा है।
कुशाग्र,4.0,ADJ,वह अपनी कुशाग्र बुद्धि के लिए प्रसिद्ध है।
कुल्फ़ी,4.0,NOUN,गर्मियों में कुल्फ़ी खाने का मज़ा ही कुछ और है।
रचयिता,4.0,NOUN,इस पुस्तक का रचयिता एक प्रसिद्ध लेखक है।
चश्मा,4.0,NOUN,उसने नया चश्मा बनवाया है।
बत्तीस,4.0,ADJ,उसके पास कुल बत्तीस किताबें हैं।
सादर,4.0,ADV,उन्होंने सादर निमंत्रण स्वीकार किया।
निकटता,4.0,NOUN,उनकी दोस्ती की निकटता क़ाबिले तारीफ है।
अनन्य,4.0,ADJ,वह अपने काम के प्रति अनन्य भक्ति रखता है।
स्वाधीनता,4.0,NOUN,स्वाधीनता दिवस एक राष्ट्रीय पर्व है।
अधिकारी,4.0,NOUN,वह एक वरिष्ठ सरकारी अधिकारी है।
निकालने,4.0,VERB,उसने बोतल से पानी निकालने का प्रयास किया।
निगाह,4.0,NOUN,उसकी निगाह हमेशा सटीक होती है।
टाट,4.0,NOUN,टाट का पर्दा हवा में लहरा रहा था।
शीघ्रता,4.0,ADV,उसने शीघ्रता से काम समाप्त कर दिया।
इंडिया,4.0,PROPER NOUN,इंडिया एक विविधतापूर्ण देश है।
आत्मा,4.0,NOUN,कहा जाता है कि योग से आत्मा को शांति मिलती है।
शुक,4.0,NOUN,शुक पक्षी को पिंजरे में देखा।
शीशमहल,4.0,NOUN,शीशमहल की सुंदरता अद्वितीय है।
मटके,4.0,NOUN,मटके में ठंडा पानी भरा था।
नारा,4.0,NOUN,उनका मुख्य नारा 'स्वच्छ भारत' था।
टुकड़े,4.0,NOUN,उसने रोटी के टुकड़े कुत्ते को दिए।
अप,4.0,PRON,क्या आप कल अप आएंगे?
जिराफ,4.0,NOUN,जिराफ जंगल में ऊँची-ऊँची शाखाएँ खाता है।
रहस्यों,4.0,NOUN,उसके पास कई रहस्यों की कुंजी है।
रागों,4.0,NOUN,भारतीय शास्त्रीय संगीत में रागों का विशेष महत्व है।
रागदारी,4.0,NOUN,रागदारी सिखाने के लिए बहुत धैर्य चाहिए।
कीं,4.0,VERB,उन्होंने पार्टी में आने कीं कोशिश की।
कुंड,4.0,NOUN,पवित्र कुंड में श्रद्धालु स्नान करते हैं।
फिरंगी,4.0,NOUN,उपनिवेश काल में फिरंगी भारत आए थे।
फायदा,4.0,NOUN,व्यायाम करने से स्वास्थ्य का बड़ा फायदा होता है।
फातिमा,4.0,NOUN,फातिमा मेरी सबसे अच्छी दोस्त है।
फिल्में,4.0,NOUN,वह सप्ताहांत में फिल्में देखता है।
नाला,4.0,NOUN,बारिश के कारण नाला भर गया।
नारों,4.0,NOUN,भीड़ ने नारों के साथ जुलूस निकाला।
कुलाँ,4.0,NOUN,कुलाँ क्षेत्र में बर्फबारी हुई।
गतिविधियां,4.0,NOUN,विद्यालय में बहुत सी सांस्कृतिक गतिविधियां होती हैं।
मालती,4.0,NOUN,मालती ने बगीचे में नए फूल लगाए।
वर्णनात्मक,4.0,ADJ,उसकी कहानी का वर्णनात्मक भाग बहुत आकर्षक था।
कतित,4.0,ADJ,कतित धारणाओं पर विश्वास करना कठिन है।
कदाचित,4.0,ADV,वह कदाचित कल यात्रा पर जाएगा।
भनक,4.0,NOUN,मुझे भी इस बात की भनक नहीं लगी।
भृगुकुलकेतु,4.0,NOUN,भृगुकुलकेतु का भारतीय इतिहास में महत्वपूर्ण स्थान है।
गाँवों,4.0,NOUN,गाँवों की सादगी दिल को छू जाती है।
गाढ़ा,4.0,ADJ,गाढ़ा रंग हमेशा ध्यान खींचता है।
आशीष,4.0,NOUN,गुरु की आशीष जीवन में मार्गदर्शन करती है।
मिलाना,4.0,VERB,उसे चाय में चीनी मिलाना पसंद है।
लहसुन,4.0,NOUN,खाने में लहसुन का स्वाद बढ़ाता है।
चहक,4.0,VERB,पक्षी पेड़ पर चहक रहे हैं।
कुसमय,4.0,NOUN,वह कुसमय पर घर आया था।
कूदी,4.0,VERB,बच्ची ने खुशी से नाचते हुए तालाब में कूदी।
कूदने,4.0,VERB,बच्चे ने झूले से कूदने का प्रयास किया।
कन्नड़,4.0,NOUN,वह कन्नड़ भाषा सीख रही है।
अहा,4.0,INTERJECTION,अहा! कितना सुंदर नज़ारा है।
बोएँ,4.0,VERB,कृपया इस खेत में गेहूँ के बीज बोएँ।
बोरे,4.0,NOUN,धान के बोरे को गोदाम में रख दिया गया।
बोरा,4.0,NOUN,चावल का बोरा फट गया था।
सरस्वती,4.0,NOUN,आज सरस्वती पूजा का आयोजन किया गया।
सरसों,4.0,NOUN,सरसों के खेत में पीले फूल खिले हैं।
कलात्मक,4.0,ADJ,उसका कलात्मक दृष्टिकोण सबको पसंद आया।
फ़ोटो,4.0,NOUN,हमने जन्मदिन पर फ़ोटो खींचे।
फाउंडेशनल,4.0,ADJ,यह किताब बच्चों के लिए फाउंडेशनल ज्ञान देती है।
फाइटर,4.0,NOUN,वह एक प्रसिद्ध फाइटर पायलट है।
फाँसी,4.0,NOUN,अपराधी को फाँसी की सजा सुनाई गई।
सोई,4.0,VERB,वह रात को जल्दी सोई।
आंटी,4.0,NOUN,मेरी आंटी गाँव से आई हैं।
वय,4.0,NOUN,इस वय में उन्हें आराम की जरूरत है।
समानताएँ,4.0,NOUN,दोनों में कई समानताएँ हैं।
उपकरणों,4.0,NOUN,कंपनी ने नए उपकरणों का आयात किया।
नवाब,4.0,NOUN,वह नवाब के महल में ठहरी हुई थी।
नवनीत,4.0,NOUN,नवनीत का मक्खन खाने में बहुत स्वादिष्ट लगता है।
नवीनता,4.0,NOUN,उसकी सोच में नवीनता है।
पसार,4.0,VERB,उसने मेज पर किताबें पसार दीं।
पहना,4.0,VERB,उसने कल एक सुंदर साड़ी पहनी थी।
जामुन,4.0,NOUN,बाजार में जामुन बिक रहे हैं।
जापानी,4.0,ADJ,वह जापानी संस्कृति में गहरी रुचि रखती है।
कीजिएगा,4.0,VERB,आप हमारा काम जरूर कीजिएगा।
राखी,4.0,NOUN,राखी का त्योहार भाई-बहन का स्नेह बढ़ाता है।
किरणों,4.0,NOUN,सूरज की किरणों ने कमरे को रोशन कर दिया।
संदूक,4.0,NOUN,पुराने संदूक में कई खजाने छुपे थे।
स्वर्णिम,4.0,ADJ,उनके जीवन का स्वर्णिम युग था।
टेबल,4.0,NOUN,टेबल पर किताबें बिखरी पड़ी हैं।
वधू,4.0,NOUN,वधू दिखने में बहुत सुंदर थी।
कन्हैयालाल,4.0,NOUN,कन्हैयालाल जी आज घर आएंगे।
टोलियाँ,4.0,NOUN,मेलों में बच्चों की टोलियाँ होती हैं।
टोपी,4.0,NOUN,वह लाल रंग की टोपी पहनता है।
नम,4.0,ADJ,बारिश के बाद मिट्टी नम हो गई।
नयेपन,4.0,NOUN,इस परिधान में नयेपन की झलक दिखती है।
नम्रता,4.0,NOUN,उसकी नम्रता सबके दिल को छू जाती है।
साक्षी,4.0,NOUN,वह इस घटना की एकमात्र साक्षी है।
सादा,4.0,ADJ,उसने सादा जीवन जीने का निर्णय लिया।
आँधी,4.0,NOUN,आँधी के कारण पेड़ गिर गए।
आँचल,4.0,NOUN,माँ के आँचल में बच्चा सो गया।
बनारस,4.0,NOUN,बनारस की गलियाँ भी बहुत प्रसिद्ध हैं।
इशारे,4.0,NOUN,उसके इशारे से सब समझ गए।
टों,4.0,INTERJECTION,ठीक टों! इसे यहीं छोड़ देते हैं।
वर्मा,4.0,NOUN,वर्मा जी आज ऑफ़िस नहीं आए।
कड़ा,4.0,ADJ,समय कभी-कभी कड़ा हो सकता है।
कथकों,4.0,NOUN,कथकों की कहानियों में हमेशा एक गूढ़ संदेश होता है।
उपकार,4.0,NOUN,गरीबों की मदद करना एक बड़ा उपकार है।
भूलभुलैया,4.0,NOUN,हम पार्क में बनी भूलभुलैया में खो गए।
आध्यात्मिक,4.0,ADJ,आध्यात्मिक विकास के लिए ध्यान करना लाभकारी होता है।
आपदा,4.0,NOUN,आपदा के समय सभी को मिलकर काम करना चाहिए।
प्रो,4.0,ADV,उसने यह काम प्रो तरीके से किया।
सिरा,4.0,NOUN,रस्सी का सिरा पकड़कर खींचो।
अशर्फ़ियाँ,4.0,NOUN,उस राजा ने अपनी प्रजा को अशर्फ़ियाँ बांटी।
फँसा,4.0,VERB,वो गहरे गड्ढे में फँसा हुआ था।
फड़फड़ाता,4.0,VERB,पंछी पंख फड़फड़ाता हुआ उड़ गया।
फटी,4.0,ADJ,उसकी फटी जींस देखकर सभी हंस पड़े।
संक्रांत,4.0,NOUN,संक्रांत का त्योहार पूरे देश में मनाया जाता है।
संकोच,4.0,NOUN,उसे सार्वजनिक रूप से बोलने में संकोच होता है।
पहलू,4.0,NOUN,इस समस्या के कई पहलू हैं जिन्हें समझना होगा।
अफ़ीका,4.0,ADJ,उसकी अफ़ीका जूती बहुत सुंदर थी।
सेन,4.0,NOUN,सेन ने उसे अपनी योजना के बारे में बताया।
भुगतान,4.0,NOUN,उसे भुगतान कल किया जाएगा।
नदिया,4.0,NOUN,नदिया के किनारे चलने में बहुत सुकून मिलता है।
अप्राप्य,4.0,ADJ,उस परीक्षा में अच्छे अंक लाना अप्राप्य नहीं है।
ठठ,4.0,VERB,वो ठठ-ठठ करके हंसने लगी।
उपयोगिता,4.0,NOUN,इस उपकरण की उपयोगिता बहुत अधिक है।
बरसें,4.0,VERB,मौसम ने करवट बदली और मूसलाधार बारिश बरसें।
बलि,4.0,NOUN,वो मंदिर में एक बकरी की बलि चढ़ा रहे थे।
बसना,4.0,VERB,नए शहर में बसना आसान नहीं होता।
चप्पल,4.0,NOUN,उसकी चप्पल टूट गई।
योद्धा,4.0,NOUN,रामायण में हनुमान एक महान योद्धा थे।
माली,4.0,NOUN,माली ने बगीचे की खूबसूरती बढ़ा दी।
मटमैला,4.0,ADJ,बारिश के बाद रास्ता मटमैला हो गया।
मतिदान,4.0,NOUN,वोटिंग में भाग लेना प्रत्येक व्यक्ति का मतिदान है।
मधुमक्खी,4.0,NOUN,मधुमक्खी ने उसे काट लिया।
मधुमक्खियाँ,4.0,NOUN,मधुमक्खियाँ फूलों के पास मंडरा रही थीं।
नंगे,4.0,ADJ,वह बच्चे नंगे पांव खेल रहे थे।
संरक्षक,4.0,NOUN,उसने अपने परिवार का संरक्षक होने का फर्ज निभाया।
भूला,4.0,VERB,वो अपना पैन घर पर भूला आया।
खराब,4.0,ADJ,खराब मौसम की वजह से मैच रद्द कर दिया गया।
खरा,4.0,ADJ,उसने खरा सोना खरीदा।
